Order_ID,Product,Category,Quantity,Price,Customer_City,Rating
1001,Laptop,Electronics,2,55000,Mumbai,5
1002,Mouse,Electronics,5,800,Bangalore,4
1003,Keyboard,Electronics,3,1500,Delhi,4
1004,Chair,Furniture,1,7000,Mumbai,5
1005,Table,Furniture,2,12000,Pune,3
1006,Headphones,Electronics,4,2500,Chennai,4
1007,Monitor,Electronics,2,15000,Hyderabad,5
1008,Laptop,Electronics,1,60000,,5
1009,Desk,Furniture,2,9000,Bangalore,4
1010,Mouse,Electronics,8,750,Delhi,3
1011,Keyboard,Electronics,4,1800,Pune,4
1012,Chair,Furniture,3,6500,Mumbai,5
1013,Laptop,Electronics,1,58000,mumbai,4
1014,Table,Furniture,2,11000,Chennai,3
1015,Monitor,Electronics,3,14500,Hyderabad,5
1016,Headphones,Electronics,5,2200,Delhi,
1017,Desk,Furniture,1,8500,Bangalore,4
1018,Laptop,Electronics,2,57000,Mumbai,5
1019,Mouse,Electronics,6,800,Pune,3
1020,Chair,Furniture,2,7200,Delhi,4
1020,Chair,Furniture,2,7200,Delhi,4
1022,Table,Furniture,1,12500,Bangalore,4
1023,Monitor,Electronics,2,15500,Chennai,5
1024,Laptop,Electronics,1,590000,Hyderabad,4
1025,Headphones,Electronics,3,2400,Pune,3
1026,Desk,Furniture,2,8800,Mumbai,4
1027,Mouse,Electronics,5,850,Delhi,5
1028,Chair,Furniture,1,6800,Bangalore,4
1029,Laptop,Electronics,2,62000,Chennai,5
1030,Table,Furniture,1,11500,Pune,3
